url,statut,datetime
http://www.meamedica.fr/,✅ Fonctionnel,2026-03-05 01:18:35
https://www.meamedica.fr/content/css,✅ Fonctionnel,2026-03-05 01:18:36
https://www.meamedica.fr/donnez-avis,✅ Fonctionnel,2026-03-05 01:18:36
https://www.meamedica.fr/,✅ Fonctionnel,2026-03-05 01:18:37
https://www.meamedica.fr/faq,✅ Fonctionnel,2026-03-05 01:18:38
https://www.meamedica.fr/adn,✅ Fonctionnel,2026-03-05 01:18:38
https://www.meamedica.fr/sur-meamedica,✅ Fonctionnel,2026-03-05 01:18:39
https://www.meamedica.fr/enregistrement,✅ Fonctionnel,2026-03-05 01:18:40
https://www.meamedica.fr/pharmacogenetique-professionnels-sante,✅ Fonctionnel,2026-03-05 01:18:40
https://www.meamedica.fr/maladie,✅ Fonctionnel,2026-03-05 01:18:41
https://www.meamedica.fr/oublie-mot-de-passe,✅ Fonctionnel,2026-03-05 01:18:41
https://www.meamedica.fr/avis-medicament,✅ Fonctionnel,2026-03-05 01:18:42
https://www.meamedica.fr/yeux-infection-bacterienne/azyter,✅ Fonctionnel,2026-03-05 01:18:42
https://www.meamedica.fr/adn/tests-genetiques,✅ Fonctionnel,2026-03-05 01:18:43
https://www.meamedica.fr/parasites-autre/flagyl,✅ Fonctionnel,2026-03-05 01:18:45
https://www.meamedica.fr/sedatifs-et-tranquillisants/euphytose,✅ Fonctionnel,2026-03-05 01:18:45
https://www.meamedica.fr/tension-arterielle-angiotensine-antagonistes/valsartan,✅ Fonctionnel,2026-03-05 01:18:47
https://www.meamedica.fr/urologie-hypertrophie-de-la-prostate/urorec,✅ Fonctionnel,2026-03-05 01:18:48
https://www.meamedica.fr/douleurs/antadys,✅ Fonctionnel,2026-03-05 01:18:49
https://www.meamedica.fr/antibiotiques-autre/metronidazole,✅ Fonctionnel,2026-03-05 01:18:50
https://www.meamedica.fr/douleurs-morphine/tramadol,✅ Fonctionnel,2026-03-05 01:18:51
https://www.meamedica.fr/antibiotiques-autre/pyostacine,✅ Fonctionnel,2026-03-05 01:18:52
